Id,Timestamp,Version,Provider,Collection
5c707152081a2a6caf043300,1550872882,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth,is_extended
Washing Down,19879.1,true

Id,hole_size,type,id
5c6f294b87a6c94f18943260,8.5,DrillString,5


start_timestamp
1550825331

end_timestamp,start_timestamp
1550825330,1550823996
start_timestamp,end_timestamp
1550823996,1550872882


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.1,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
1550832532,4955.75,126.6,0.01,0,0,222
1550832665,5051.2,127.3,0.01,0,0,222
1550832780,5146.8,129.3,0.01,0,0,222
1550832910,5243.4,130.15,0.01,0,0,222
1550833058,5330.8,131.5,0.01,0,0,216
1550833179,5430.45,132.8,0.01,0,0,216
1550833291,5523.9,133.2,0.01,0,0,219
1550833409,5620,133.6,0.01,0,0,216
1550833532,5716.1,134.6,0.01,0,0,216
1550835003,5802.8,152.2,0.01,0,0,207
1550835139,5902.6,153.2,0.01,0,0,210
1550835257,5997.8,153.9,0.01,0,0,210
1550835377,6089.3,154.85,0.01,0,0,210
1550835499,6184.65,155.5,0.01,0,0,210
1550835630,6276.9,157,0.01,0,0,210
1550835748,6372.05,157.65,0.01,0,0,210
1550835865,6467.8,158.8,0.01,0,0,207
1550835987,6559.7,160.4,0.01,0,0,210
1550836115,6651.6,161.2,0.01,0,0,204
1550836323,6738.35,161.9,0.01,0,0,204
1550836472,6837.9,162.9,0.01,0,0,204
1550836590,6937.9,163.3,0.01,0,0,210
1550836712,7033.7,164.2,0.01,0,0,207
1550836852,7121,165.7,0.01,0,0,198
1550837845,7214.7,166.3,0.01,0,0,204
1550837992,7318.5,166.7,0.01,0,0,204
1550838111,7408.6,167.7,0.01,0,0,204
1550838322,7501.8,168.9,0.01,0,0,204
1550838451,7601.6,170,0.01,0,0,204
1550838573,7691.4,171.5,0.01,0,0,186
1550838820,7786.1,173.35,0.01,0,0,156
1550838969,7890.75,174.45,0.01,0,0,108
1550839026,7922.35,174,0.01,0,0,54
1550839168,7968.85,173.1,0.01,0,0,90
1550839388,8061.2,174.9,0.01,0,0,84
1550839676,8161.4,176,0.01,0,0,60
1550839850,8252.6,175.9,0.01,0,0,66
1550840025,8348.2,176.7,0.01,0,0,66
1550840214,8442.1,175.6,0.01,0,0,60
1550840409,8536.6,175.65,0.01,0,0,60
1550840589,8629.2,175.2,0.01,0,0,60
1550840775,8723.9,173.9,0.01,0,0,54
1550840998,8815.45,173.4,0.01,0,0,48
1550841210,8902.65,173.3,0.01,0,0,60
1550841272,8949.8,171.4,0.01,0.1,0,36
1550841425,9005.9,170.5,0.01,0,0,60
1550843672,9100,188.45,0.01,0,0,72
1550843837,9190.1,187.7,0.01,0,0,84
1550843979,9280.9,187.7,0.01,0,0,120
1550844121,9378.8,185.9,0.01,0,0,120
1550844267,9479,184.9,0.01,0,0,126
1550844390,9566.3,184,0.01,0,0,132
1550844523,9656.35,182.95,0.01,0,0,138
1550844665,9749.5,183.5,0.01,0,0,120
1550844814,9842.95,182.85,0.01,0,0,114
1550844946,9933.85,182.65,0.01,0,0,102
1550845090,10036.45,181.65,0.01,0,0,120
1550845253,10127.8,180.5,0.01,0,0,120
1550845392,10223.35,179.55,0.01,0,0,132
1550845522,10314,179,0.01,0,0,117
1550845654,10413,177.8,0.01,0,0,132
1550845786,10502,178,0.01,0,0,132
1550845915,10596.85,176.6,0.01,0,0,102
1550846056,10689.4,176.2,0.01,0,0,90
1550846193,10788.85,176.1,0.01,0,0,96
1550846325,10877.8,174.6,0.01,0,0,126
1550846454,10977.6,173.8,0.01,0,0,132
1550846615,11067.1,173.5,0.01,0,0,126
1550846744,11161.3,172,0.01,0,0,132
1550846880,11257.2,172.7,0.01,0,0,102
1550847014,11355,171.8,0.01,0,0,132
1550847153,11443.8,171.35,0.01,0,0,102
1550847358,11550,169.5,0.01,0,0,132
1550847504,11638.95,169.5,0.01,0,0,132
1550847630,11728.7,169,0.01,0.1,0,132
1550847788,11823.1,169.1,0.01,0,0,84
1550849091,11915.3,183.6,0.01,0,0,132
1550849278,12009,183.3,0.01,0,0,132
1550849514,12105.7,185.05,0.01,0,0,114
1550849753,12201.45,186,0.01,0,0,132
1550849949,12280.1,188.6,0.01,0,0,99
1550850254,12379.2,190,0.01,0,0,84
1550850477,12472.55,191.7,0.01,0,0,90
